,NAME,TEAM,elo
621,Ryan Cash,Indiana State,988.85
622,Nathan Pixler,Seattle U.,988.6876238
623,Brandt Preston,Texas A&M,988.6229481
624,Jonny Glen,New Mexico,987.8863096
625,Grant Gilbert,High Point,987.8095185
626,Brenden Allen,Unattached,987.8
627,Zach Litoff,Santa Clara,987.116859
628,Tyler Dozzi,British Columbia,986.7358421
629,Tyler Bowling,Purdue,986.6869975
630,Peter Lynch,Tulsa,986.6812404
631,Scott Kopczynski,Gonzaga,986.4992896
632,Paul Richardson,Samford,986.4867436
633,Aidan Livingston,Vanderbilt,986.075
634,Connor McMenamin,Bucknell,986.0700973
635,Andy Muha,Lane CC,985.95
636,Colin Wills,George Washington,985.8395531
637,Charlie Hunter,Una-4,985.6876238
638,Sigei Bernard,Tennessee Tech,985.6302642
639,Thomas George,Missouri,985.5376664
640,CJ Ambrosio,Duke,985.4370997
641,Anthony Berry,Michigan,985.1520289
642,Brendan Fraser,Notre Dame,984.65
643,Jacob Coccia,USC Upstate,984.4345185
644,Joe Riordan,Michigan State,983.9200717
645,Jack Anstey,Illinois State,983.741859
646,Daniel Viegra,Wake Forest,983.4665862
647,Jordan Lesansee,Air Force,983.45
648,Charlie Pope,San Jose St.,983.3358421
649,Nathan Longfellow,East Tenn. St.,983.3117436
650,Jason Vincze,Vanderbilt,983.3
651,Jordan Brannan,Iona,983.0267159
652,Jacob Truitt,Northwest Christian,983.025
653,Matt McBrien,Georgia Tech,982.6450973
654,Collin Buck,Montana State,982.2429854
655,Derek Basinger,Youngstown St.,982.15
656,Graham Brown,Arkansas,982.0643941
657,Max Norman,Portland State,981.8535763
658,Will Majercak,Dayton,981.6
659,Alex Slenning,Washington,981.1819909
660,Ashenafi Kidanu,Radford,981.1095185
661,Brad Swiney,Tennessee,980.675
662,Jacob Janzen,Oklahoma,980.416859
663,Josh Campbell,Northern Colorado,980.275
664,Jesse Todd,Lane CC,980.225
665,Maximilliano Martinez,Colorado St.,980.1869975
666,Sean Parker,Mercer,980.1867436
667,Cal Davidson-Turner,Seattle U.,979.9876238
668,Edgar Bonilla,San Jose St.,979.9608421
669,Marco Pompilj,Dartmouth,979.7991943
670,Brett Davidson,Boston U.,979.2450973
671,Robert Wagner,Minnesota,979.1796468
672,Robby Prescott,Eastern Illinois,978.875
673,Ethan Newland,George Mason,978.8145531
674,Drew Seidel,Portland State,978.7785763
675,Daniel Santino,Miami (Ohio),978.625
676,Cole Barkocy,Eastern Kentucky,978.5725368
677,Seth Hirsch,Wisconsin,977.9917484
678,Tim Bason,North Carolina St.,977.6077667
679,Matt Schumann,Portland,977.55
680,Robert Pedersen,Una-5,977.3126238
681,THOMAS CHASTON,COLORADO ST.,977.15
682,Mark Britt,Chattanooga,977.1367436
683,Adam Barnard,Georgetown,977.0513087
684,Lance Rambo,Michigan State,977.0119975
685,Jesse Allen,Idaho State,976.7236946
686,Charlie Perry,UNA-Stanford,976.6108421
687,Caleb Van Geffen,Vanderbilt,975.8
688,Jake Bertelsen,Miami (Ohio),975.725
689,Harrison Martingayle,LSU,975.65
690,Kyle Harris,Butler,975.5557
691,Wes McPhail,Texas A&M,975.4229481
692,Thomas Amabile,George Mason,975.3395531
693,Cobie Chavez-Killinger,Portland,975
694,Aidan Thompson,Belmont,974.9950182
695,Ryman Crone,UC Davis,974.7626238
696,Kyle Burdick,South Dakota St.,974.6805125
697,Travis Gallimore,Campbell,974.6095185
698,Gavin Jenkins,VMI,974.1617436
699,JOSH TORRES,Unattached,974.1
700,Paul Zeiss,California,973.891859
701,Georde Goodwyn,Tennessee,973.575
702,Jack Rose,UC Santa Barbara,973.2858421
703,Matt Blanco,Illinois State,972.925
704,Shane Streich,Minnesota,972.7796468
705,Dillon May,Montana,972.7785763
706,Seth Berdahl,Oregon,972.55
707,Michael Smith,Clemson,972.475
708,Pedro Nasta,Texas,972.3434093
709,Jacques Hebert,Seattle U.,972.3126238
710,Jackson Felkins,Pepperdine,972.2492896
711,Hunter Jutras,George Mason,971.8895531
712,Andrew Rafla,Boise State,971.8097777
713,Jack Rogers,Auburn,971.5
714,Blanton Gillespie,UNC-Asheville,971.4345185
715,Trelek Jones,UNC-Greensboro,971.2367436
716,Ryan Smeeton,Oklahoma State,971.1346668
717,Vinny Del Conte,Colorado St.,971.125
718,Britain Reynolds,Utah Valley,970.666859
719,Sam Bowers,Georgia,970.5736528
720,Jake Knoblich,Portland,970.225
721,Avery Felty,Unattached,970.225
722,John Kavulich,Una-10,969.9876238
723,Sean McDermott,Cal Poly,969.9858421
724,Grayson Ollar,Idaho,969.8785763
725,Nick Boogades,Tennessee,969.575
726,Jalen Frantal,Pepperdine,969.5742896
727,Arjun Jha,Indiana,969.5316955
728,Jackson Goodwin,Clemson,969.35
729,Grayson Jenkins,Xavier (Ohio),969.3307
730,Jacob Stupak,Bucknell,969.1950973
731,Matt Kingeter,UMBC,968.4645531
732,Justin Adams,VMI,968.3867436
733,Graham Parker,UNC-Asheville,968.3095185
734,Jeremy Romero,Northern Colorado,968.2
735,Conner Covey,Northwest Christian,968.025
736,Cameron Daly,Brown,967.9638135
737,Ben Monk,Seattle U.,967.7876238
738,Andrew Tighe,Dayton,967.6
739,Benjamin Davidson,Santa Clara,966.9742896
740,Nick Randazzo,UC Santa Barbara,966.7108421
741,Austin Tamagno,Oregon,966.6046468
742,Chase Howard,Creighton,966.3057
743,Noah Hufnagel,Indiana State,966.275
744,Oliver Rigg,Alabama,966.175
745,Joe Gorthy,Kansas State,966.0434093
746,Shane Henderson,Lane CC,965.95
747,Kevin Vinolas,Stony Brook,965.8950973
748,Kyle Kennedy,Seattle U.,965.6876238
749,Jonathan Boyd,Chattanooga,965.6117436
750,Vince Turner,Murray State,965.5302642
751,JOE BINDER,Unattached,965.325
752,Matthew Barrera,UNC-Asheville,965.2345185
753,Duncan Hamilton,Montana State,965.1573821
754,Cal Puskar,Buffalo,965.0645531
755,Thomas Thornton,Illinois State,965.05
756,Johnathan Chavez,Georgetown,964.8119975
757,Evan Suzman,Vanderbilt,964.675
758,Stefan Bradley,Gonzaga,964.4492896
759,Brian Griffith,Notre Dame,964.341859
760,Carson Bain,Northwest Christian,964
761,Alex Franklin,Seattle U.,963.6876238
762,Baylor Franklin,Ole Miss,963.3
763,Hunter Wharrey,Duquesne,963.225
764,Ethan Powell,Kansas State,962.9684093
765,Robert Zell,Mercer,962.8867436
766,Craig Schumacher,Youngstown St.,962.6
767,Miguel Bautista,Texas Tech,962.5455992
768,Isaiah Remington,Northern Colorado,962.5
769,Jared Coccia,USC Upstate,962.2095185
770,Eric Beyerle,UO Running Club,962.15
771,Paul Selden,Alabama,962.075
772,Cain Hassim,Southern Illinois,961.8869975
773,Fenn Hoppe,UC Davis,961.8126238
774,Sam Ellis,Princeton,961.6645531
775,Ryan Lee,Auburn,961
776,Robert Pedersen,UNATTACHED-3,960.425
777,Brandon Cooley,Iowa,960.2261935
778,Will Bullock,Eastern Illinois,960.225
779,Thomas Knepshield,UNC-Greensboro,960.2117436
780,Adam Walker,Saint Louis,960.2
781,Jackson Thomas,Auburn,960.075
782,Bradley Needles,UC Davis,960.0626238
783,Daniel Navarro,Georgia,960.0479481
784,Leif Everson,Boise State,959.8847777
785,Justice Ramos,Colorado,959.75
786,Preston Gromer,Pepperdine,959.5742896
787,Matthew Munns,Georgia Tech,959.3700973
788,Caleb Casolaro,Vanderbilt,959.3
789,Pete Decker,Radford,959.2345185
790,Christian Hubaker,Michigan,959.0119975
791,Andres Martinez,Northwest Christian,958.825
792,Alex Tucker,Auburn,958.675
793,Owen Bishop,Columbia,958.2895531
794,Edward Harpstead,Vanderbilt,958.175
795,Kai Benedict,California,958.1162834
796,Sean MacGregor,Dayton,957.925
797,Kyle Cloutier,UMass Lowell,957.8296468
798,Payton Ash,Alabama,957.8
799,Dalton Miles,UNC-Greensboro,957.6117436
800,Noah Karr,Alabama,957.575
801,Blake Roberts,Butler,957.5557
802,Erik Armes,Auburn,957.5
803,Isaac Sanchez,Northwest Christian,957.325
804,Meika Beaudoin-Rousseau,Stanford,957.2892942
805,Simeon Paul,Loyola Marymount,957.2492896
806,Arman Irani,UC Riverside,957.225
807,Gavin Hoffpauir,Texas A&M,957.1229481
808,Chase Watson,Northern Colorado,957.075
809,Aaron Ahl,Simon Fraser,956.9858421
810,Eli Boudouris,Seattle U.,956.8626238
811,Tristen Thomson,Sacramento St.,956.3285763
812,William Metcalf-Shull,Winthrop,956.3095185
813,Kenneth Hagen,Indiana,956.2119975
814,Wesley Gray,Austin Peay,956.1552642
815,Ben Matejka,Dartmouth,956.1450973
816,Grayson Mazziotti,Lane CC,955.95
817,Seth Conroy,Miami (Ohio),955.725
818,Michael Wheeler,UC Davis,955.4376238
819,Paul Nichols,Villanova,955.1458641
820,Colin Martin,Citadel,955.0867436
821,Josh Ward,Utah State,955.0046468
822,Solomon Demeku-Ousman,Loyola Marymount,954.9742896
823,Jack Hautz,Xavier (Ohio),954.7807
824,Dan Carrier,Northwest Christian,954.7
825,GABE FENDEL,Unattached,954.45
826,David Fitzgerald,Temple,954.3061474
827,Aaron Dugan,Saint Louis,954.3
828,Josh Gordon,UO Running Club,954.1376238
829,Michael Milic,British Columbia,953.8108421
830,Zach Wiberg,Weber State,953.8035763
831,Kevin Ganahl,Saint Louis,953.625
832,Casey Pugh,Lane CC,953.575
833,Brandon Burt,USC Upstate,953.4345185
834,Leonel Perez,Tennessee-Martin,953.1302642
835,JD Thorne,Utah State,953.0555125
836,Chad Sussman,Bucknell,952.9450973
837,Cameron Thompson,Una-9,952.9376238
838,Stuart Kendall,St. Mary's (Cal.),952.7492896
839,Isaiah Hanna,Western Carolina,952.6117436
840,Micah Conley,Unattached,952.575
841,Kevin Koski,Illinois State,952.066859
842,Noah Deck,DePaul,952.0557
843,Ansel Pendley-Griffin,Seattle U.,951.8626238
844,James Withers,Utah State,951.7309154
845,Jacob Davis,Lane CC,951.675
846,Garrett Grissim,Dayton,951.6
847,Ben Payton,Indiana State,951.425
848,Justin Pacifico,Florida,951.4229481
849,Adam Fragola,UC Davis,950.9126238
850,Ryle Hollick,Lane CC,950.9
851,Colin Daly,Penn,950.840307
852,Ryan Wilkie,Michigan,950.8119975
853,Alex Nemethy,U. of Victoria,950.6858421
854,Jonathan Loy,USC Upstate,950.6095185
855,Billy Magnesen,Illinois,950.4562404
856,Michael Hans,Georgia,950.3513797
857,Tyler Anderson,Lane CC,950.25
858,Vladimir Zander-Velloso,Mercer,950.2117436
859,Derek Lin,UC Davis,950.0626238
860,Matthew Kravitz,Lehigh,949.7700973
861,Jacob Lackey,Northwest Christian,949.7
862,Zach Robertson,Miami (Ohio),949.65
863,Ricky Faure,Wyoming,949.375
864,Lance Slichko,Seattle U.,949.3126238
865,Jacob Adams,Lane CC,949.275
866,Matthew Newland,Florida State,949.091859
867,Bishop Burns,Lane CC,948.975
868,Nathan Wellington,Montana,948.9035763
869,Diego Delaplane,Northwest Christian,948.8
870,Champ Davis,UO Running Club,948.75
871,Xolan Brown,UC Davis,948.6876238
872,Tyler Lay,Eastern Illinois,948.6
873,Branden Estrada,Loyola Marymount,948.5242896
874,Sean Macpherson,St. Joseph's (Pa.),948.3145531
875,Stephen Crocker,Seattle U.,948.1876238
876,Teddy Browning,Indiana,948.1869975
877,Kevin Pulliam,Notre Dame,948.1808123
878,William Sandin,UNC-Greensboro,947.8867436
879,Philip Sherwin,High Point,947.8345185
880,Jack McNabola,Unattached,947.8
881,Evan Talan,Seattle U.,947.7876238
882,Josh Kozelj,U. of Victoria,947.5858421
883,Solomon Faulkner,UO Running Club,947.4876238
884,Drew Cardinale,UO Running Club,947.3126238
885,Austin Tamagno,Una-6,947.2626238
886,Daniel White,Belmont,947.2302642
887,PHILIP HENRY,Unattached,946.95
888,Alex Gill,Marquette,946.7557
889,Oliver Hickson,Johns Hopkins,946.6200973
890,David Evans,Unattached,946.05
891,Sam Snodgrass,Duquesne,945.825
892,Tom Sullivan,Duke,945.6850656
893,Kevin Hall,Michigan,945.6119975
894,Josiah Jaqua,Mercer,945.6117436
895,Zachary Stallings,Washington St.,945.4662834
896,Joe Simmons,Idaho State,945.4127325
897,Neel Taber,Presbyterian,945.1095185
898,Ronaldo Delgado,Fresno State,944.6597777
899,Josh Ramos,Colorado,944.575
900,Ethan Kirk,Illinois State,944.375
901,Ross Walker,Sacramento St.,944.2785763
902,Sean Torpy,Miami (Ohio),944.2300867
903,Patrick Bruch,Marquette,944.1807
904,Jacob Branch,Michigan,944.1603726
905,Liam Harris,Providence,943.4950973
906,Jack Zemp,Wofford,943.3867436
907,Charlie Parrish,Kansas State,943.3684093
908,Isaac Bentz,Indiana State,943.1
909,Patrick Sullivan,Air Force,943.0869975
910,Will Griffen,Virginia Tech,943.0850656
911,Cameron Dean,Washington St.,942.8912834
912,Justin Dickman,Unattached,942.775
913,Matthew Founds,Fresno State,942.6347777
914,Logan Miller,USC Upstate,942.4345185
915,TOM OATES,Unattached,942.25
916,Isaac Barville,Eastern Washington,942.0535763
917,Caleb Garnica,Utah State,941.8796468
918,James Mas,Connecticut,941.7895531
919,Jack Carleo,Providence,941.6807
920,Jaden Uphoff,Fresno State,941.6597777
921,Marc Migliozzi,Akron,941.5138135
922,Max Trummer,British Columbia,941.4608421
923,Ryan Walker,Fresno State,941.3097777
924,Sebastian Francesconi,Miami (Ohio),941.275
925,Tyler Robakiewicz,Western Carolina,941.2367436
926,Noah Horsburgh,Boise State,941.0812404
927,Michael Viano,Fresno State,941.0347777
928,Karl Winter,Pepperdine,940.8492896
929,Sean Byrne,TCU,940.8434093
930,Nathan Burd,Fresno State,940.8347777
931,Alekos Mitchel,Fresno State,940.7097777
932,Josue Del Real,Fresno State,940.6597777
933,Ryan Wolff,Northern Arizona,940.6119975
934,Joe Carter,Eastern Illinois,940.4
935,Andrew King,Johns Hopkins,940.3950973
936,Colin Dwyer,Air Force,940
937,Tommy Osika,Unattached,939.85
938,Geoffrey McCullough,Hampton,939.8095185
939,Alex Sasser,Loyola Marymount,939.798806
940,Ian Reesh,Western Carolina,939.1617436
941,Joseph Garcia,Loyola Marymount,939.0742896
942,Jackson Cooper,Morehead State,938.7552642
943,Bailey McIntire,Purdue,938.5300442
944,Timothy Stevenson,Illinois State,938.5
945,John Gay,British Columbia,938.4358421
946,Logan Wetzel,Villanova,938.1869975
947,Luke Duggan,Northern Colorado,937.825
948,Shane Marshall,Sacramento St.,937.7785763
949,Matt Henderson,Baylor,937.725
950,Michael Guerrero,UT-Arlington,937.566859
951,Tim Wells,Pepperdine,937.3742896
952,Jonas Chimbanda,Dayton,937.25
953,Jacob Todd,UNC-Asheville,937.2345185
954,Andre Jordan,VMI,937.1367436
955,Jake Hanawalt,Purdue,937.1087591
956,George Espino,Southern Utah,936.8434379
957,Jordan De Spong,Nebraska,936.4329754
958,John Petruno,Unattached,936.1
959,Steven Stine,Michigan State,935.8119975
960,Brennan Lagerstrom,Santa Clara,935.7492896
961,Jordan Armstrong,Air Force,935.7
962,Colby Penn,Mt. SAC,935.4358421
963,Jack Conlon,George Washington,935.3645531
964,James McCoy,Wofford,935.1867436
965,Cole Lovett,Youngstown St.,935.1
966,Kyle Fulk,Notre Dame,935.025
967,Theo Burgwald,Purdue,934.9062404
968,Joshua Martin,Charleston Southern,934.7095185
969,Charlie McIntyre,DePaul,934.5557
970,Dawson Bathgate,UMass Amherst,934.2700973
971,Mason Labadie,St. Mary's (Cal.),934.1742896
972,Matthew Mangus,Youngstown St.,934.025
973,Carter Ledwith,Eastern Washington,933.7785763
974,Shane Bissell,California,933.7412834
975,Lakelin Conrad,TCU,933.6434093
976,Erik McMillan,Air Force,933.625
977,Declan McManus,Belmont,933.4064002
978,Austin Woodard,SIU Edwardsville,933.3552642
979,Josh Hendry,Wofford,933.3117436
980,Jack O'Neil,Miami (Ohio),933.125
981,Luke Landis,Ohio State,932.6429854
982,Jacob Pettinga,Calvin,932.525
983,Liam Kimball,UMass Lowell,932.5046468
984,Thomas Gallagher,Simon Fraser,932.4608421
985,Andrew Schilling,Wisconsin,932.4055125
986,Jason Klaassen,Calvin,932.3
987,Brady Harless,Xavier (Ohio),932.2807
988,Ryan Miller,Longwood,932.2345185
989,Oisin O'Gailin,Tennessee-Martin,932.2160796
990,Will Sponaugle,St. Joseph's (Pa.),932.1895531
991,Moises Medrano,California,932.1662834
992,Tyson Murray,Florida State,931.991859
993,MASON BROWN,Unattached,931.6
994,Spencer Strohm,Unattached,931.55
995,Dylan Christopher,UNC-Greensboro,931.4867436
996,Nathan Gift,Texas Tech,931.3684093
997,Brendan O'Toole,Bucknell,931.2450973
998,Reed Sahadevan,Tulsa,931.2119975
999,Tyler Janes,UCLA,930.9412834
1000,Andre Hillsman,Tennessee,930.9230637
1001,Brandon Christopher,Dayton,930.9
1002,Arturo Sotomayor,UCLA,930.6912834
1003,Thomas Penney,Saint Louis,930.35
1004,Nick Laning,Vanderbilt,930.2479481
1005,Tim Dwyer,Xavier (Ohio),930.0557
1006,Francesco Romano,Eastern Illinois,930
1007,Andrew Stafford,Portland State,929.9785763
1008,Ben Vertelney,Indiana State,929.875
1009,Zack Kochert,Presbyterian,929.8095185
1010,Fredrick Kanda,Eastern Kentucky,929.7687578
1011,Beck Classey,Wofford,929.7117436
1012,Andrew Tankersley,Air Force,929.65
1013,Ryan McGorty,William and Mary,929.5305125
1014,Jack Landgraf,UC Santa Barbara,929.5108421
1015,Alex Ortiz,Saint Louis,929.475
1016,John Rice,Texas,929.451608
1017,Matthew Bromley,Miami (Ohio),929.266859
1018,Nick Dolan,Saint Louis,929.175
1019,Lewis Tate,Michigan,929.0119975
1020,Ethan Frisone,Loyola Marymount,928.9762454
1021,Jack Randall,Calvin,928.975
1022,Tannock Blair,Saint Louis,928.9
1023,PRICE OWENS,UNA GTOWN,928.8638135
1024,Kane Dixon,Unattached,928.7
1025,Christian Bowles,Georgia Tech,928.2450973
1026,Santiago Ruiz,Sacramento St.,928.1785763
1027,Kevin Pack,Western Carolina,928.0117436
1028,Danny Peterson,Marquette,927.9057
1029,Jonah Henry,Wyoming,927.775
1030,Isaiah Quiambao,San Diego,927.7262454
1031,Jack Frimodig,UC Riverside,927.525
1032,Noel Preece,Longwood,927.4345185
1033,Brendan Taylor,Oklahoma,927.0434093
1034,Jun Reichl,Valor TC,926.5858421
1035,Jackson Pearce,San Diego,926.5512454
1036,Jason Rae,Portland State,926.4535763
1037,Justin Tucker,Western Carolina,926.3867436
1038,Ethan Kossover,Wichita State,926.1296468
1039,Will Kitzhaber,Air Force,925.95
1040,Matthew Mercer,Buffalo,925.8895531
1041,Matthew Cavanaugh,Marquette,925.8307
1042,Matthew Thomas,Kentucky,925.7638135
1043,Daniel Murphy,Iowa,925.4603471
1044,Johnny Kemps,Boston U.,925.2450973
1045,Banner Plumb,Presbyterian,925.1095185
1046,Samuel Knee-Robinson,Duquesne,925.1
1047,Dylan Scarsone,Georgetown,924.8119975
1048,Sam Katulich,Samford,924.8117436
1049,Patrick Bruce,San Diego,924.3512454
1050,Ryan Ioanidis,Air Force,924.175
1051,Andrew Burkhardt,California,924.0511329
1052,Cooper West,Montana State,924.0258545
1053,Istvan Szogi,Florida State,923.891859
1054,Tannor Wagner,Wisconsin,923.8555125
1055,Miles Christensen,Claremont-Mudd-Scripps,923.6858421
1056,Derek D'Amelia,St. Mary's (Cal.),923.3512454
1057,Diego Lavieri Sosa,Mercer,923.3117436
1058,Dwain Stucker,Idaho,923.1535763
1059,Shane Rigsby,Morehead State,923.1302642
1060,Shea Whatley,Texas Tech,922.9684093
1061,Duncan Gotfredson,Presbyterian,922.8345185
1062,Colin Yandel,Illinois,922.7869975
1063,William Brisman,Connecticut,922.7645531
1064,Logan Kitchen,Purdue Fort Wayne,922.725
1065,RYAN BIRKMEIER,Unattached,922.475
1066,Tommy Bell,St. Mary's (Cal.),922.4262454
1067,Michael Famiglietti,UMass Amherst,922.2700973
1068,John Luder,Kansas,922.1546468
1069,Scott McKenzie,Mercer,921.8867436
1070,Henry Harper,DePaul,921.8307
1071,Domenic Rehm,Eastern Washington,921.6035763
1072,Alex Riggsby,St. Mary's (Cal.),921.5512454
1073,Daniel Michalski,Indiana,921.0929854
1074,Ciaran O'Leary,Gonzaga,921.0555125
1075,Brendan Hebert,Texas,921.0434093
1076,ALEX SCALES,Unattached,920.85
1077,Noah Jacobs,Texas A&M,920.8479481
1078,Isaiah Rodarte,Adams State,920.8108421
1079,Brady Lance,St. Mary's (Cal.),920.7512454
1080,Zach Balleau,Murray State,920.6552642
1081,Jordan Howerton,UNC-Asheville,920.6095185
1082,Colin Alexander,UNC-Greensboro,920.5117436
1083,Justin Eipp,UC Riverside,920.4
1084,Ian Converse,San Diego,920.0262454
1085,Henry Mierzwa,Marquette,919.9057
1086,Matt Fusco,Cornell,919.6645531
1087,Griffin Butler,Ohio,919.6388135
1088,Ethan Steiner,San Diego,919.3512454
1089,Evan Addison,Pittsburgh,919.3200973
1090,GRIFFIN GANZ,Unattached,919.275
1091,Jeremy Shipley,Citadel,919.1867436
1092,Peter Cotsirilos,Cal Poly,919.025
1093,Chad Johnson,Iowa State,919.0239304
1094,James Fitzgerald,Northern Arizona,918.8869975
1095,Adam Fahey,Pepperdine,918.7262454
1096,Jack Rogers,Florida,918.6229481
1097,Coby Price,Hampton,918.4345185
1098,Karson Sommer,Iowa,918.4277584
1099,Cody Chism,Morehead State,918.2302642
1100,Nicholas Dinsdale,San Diego,918.1762454
1101,Logan Kleam,Central Michigan,918.1
1102,Daniel Lawton,Butler,918.0557
1103,Thomas Wilfert,UC Santa Barbara,917.9608421
1104,Marc Reiser,Mercer,917.9367436
1105,Eli Oftedal,Colorado St.,917.75
1106,Anthony Vazquez,St. Mary's (Cal.),917.7012454
1107,Marcus O'Leary,San Diego,917.2762454
1108,Andrew Akright,Charleston Southern,917.126806
1109,Ty Buckley,Michigan State,917.0119975
1110,Johnathan Drinkward,San Diego,916.9262454
1111,Lane Johnson,Citadel,916.7617436
1112,Octavio Rubio,San Diego,916.6512454
1113,Matt Inman,Charleston Southern,916.6138135
1114,Benjamin McDermott,Stony Brook,916.5895531
1115,Kyle Johnson,Pepperdine,916.4262454
1116,Kyle Levermore,Arkansas,916.4229481
1117,Alexander Korczynski,Northeastern,916.3950973
1118,Blair Bijeau,Winthrop,916.3095185
1119,Marshall Wheeler,Air Force,916.3
1120,Shane Knanishu,DePaul,916.2807
1121,Moses Bojorquez,St. Mary's (Cal.),916.2512454
1122,Zach Arias,Loyola Marymount,916.1512454
1123,Justin Touhey,Pepperdine,916.1262454
1124,Kyle Peterson,Montana,916.0035763
1125,Patrick Holbrook,Saint Louis,915.825
1126,Terry Young,Western Carolina,915.6367436
1127,John McGowan,Penn State,915.2875076
1128,Brayden Huddleston,Bradley,915.1869975
1129,Dane Blomquist,Adams State,915.1358421
1130,Justin Janke,Washington St.,915.1176866
1131,Nick Bailey,Northern Colorado,914.925
1132,Ben Vanderbosch,Montana,914.7535763
1133,Kellen Reeves,VMI,914.5617436
1134,Conor Fagan,DePaul,914.5557
1135,Matt Levonick,USC Upstate,914.2345185
1136,Sukhi Khosla,Oklahoma State,914.0812404
1137,Dylan Brenneman,Kansas State,913.9184093
1138,Ryan Peck,California,913.616859
1139,Calum Kepler,Wyoming,913.6
1140,Andres Delgado,UC Riverside,913.6
1141,Adam Hohlbein,Citadel,913.5617436
1142,Christopher Nowak,Buffalo,913.5395531
1143,Liam O'Connell,SIU Edwardsville,913.5302642
1144,Peter Rindfuss,Providence,913.4950973
1145,Brady Bobbitt,Penn State,913.4119975
1146,Bryce Hedman,Stony Brook,913.3546468
1147,Nicholas Monkemeyer,Creighton,912.8807
1148,Caleb Albrecht,Western Carolina,912.6367436
1149,Stevie Steinberg,Claremont-Mudd-Scripps,912.3608421
1150,Joshua Rogerson,Northern Colorado,912.325
1151,Patrick Sastre,Gardner-Webb,912.2095185
1152,Darr Smith,Georgia,912.1229481
1153,Walt Kitson,VMI,911.7617436
1154,Brandon Hontz,Penn State,911.6869975
1155,Connor Laktasic,Baylor,911.425
1156,Luke Ramirez,Portland State,911.3785763
1157,Paolo Tiongson,Marquette,911.2557
1158,Kaden Eaton,Belmont,911.2552642
1159,Adrian Jones,Utah Valley,911.141859
1160,Aric Kedge,Air Force,911.125
1161,Ryan Phillips,Chattanooga,910.9617436
1162,Dominic Morganti,Brown,910.6200973
1163,Drew Schultz,Idaho,910.3535763
1164,Devon Heisler,Citadel,910.2367436
1165,Ezekiel Martin,Gardner-Webb,910.2345185
1166,Bradley Davis,Miami (Ohio),910.0713952
1167,Johnny Leverenz,Butler,910.0168696
1168,Greg Tippmann,Purdue,910.0119975
1169,Luke Nolley,Air Force,910
1170,Eric Kersten,Lehigh,909.7308122
1171,Max McClelland,Marquette,909.6807
1172,Alex Barr,UC Santa Barbara,909.6108421
1173,Ben Boatwright,Wofford,909.5617436
1174,Ian Vickstrom,Portland State,909.4035763
1175,Luke Kerstiens,Indiana State,909.3
1176,Luke Phillips,Texas Tech,909.2684093
1177,Caleb Kawasaki,Murray State,909.0302642
1178,Micah Sneller,Chattanooga,908.9367436
1179,DAWSON BESST,Unattached,908.925
1180,Myers McKinney,Wake Forest,908.7850656
1181,Zach Kreft,Notre Dame,908.691859
1182,Andy Solano,Portland State,908.5285763
1183,Joshua Bell,Georgetown,908.3869975
1184,Walker Gibbs,Wofford,908.3867436
1185,Hunter Jarvis,Winthrop,908.3095185
1186,Haran Dunderdale,Bradley,908.3062404
1187,Jeremy Lozano,DePaul,908.1807
1188,Francis O’Brien,Citadel,907.9117436
1189,Matt Zacharias,Air Force,907.9
1190,Erik Engstrom,UMass Amherst,907.7700973
1191,Kyle Kredo,Montana,907.7035763
1192,Evan Schulte,Missouri,907.5879507
1193,Marek Nowak,Cornell,907.5145531
1194,Jack Moody,Wofford,907.4867436
1195,Chris Butler,Youngstown St.,907.225
1196,Ian Irizarry Negron,VMI,907.1367436
1197,Cameron Beal,Northern Colorado,906.925
1198,James Douglass,UC Santa Barbara,906.8858421
1199,Joshua Topham,Chattanooga,906.8617436
1200,Jackson Vroon,Belmont,906.8552642
1201,Maxwell Wehrle,Creighton,906.7557
1202,Zach Lauster,VMI,906.6367436
1203,Tyler White,Western Carolina,906.4617436
1204,Daniel Sims,Michigan State,906.4392379
1205,Edward Hayfron,High Point,906.4345185
1206,Eric Avalos,Citadel,906.3617436
1207,Dane Szalwinski,Wofford,906.3367436
1208,Luke Hoover,Dayton,906.266859
1209,Colton Egberg,Eastern Washington,906.2285763
1210,Magnus Pettersen,Florida,906.0479481
1211,Arturo Toro,Northern Colorado,906.025
1212,Austin Fred,Idaho,905.6035763
1213,Scott Beattie,Tulsa,905.4562404
1214,Sean Meehan,Providence,905.3807
1215,Aaron Bennett,Indiana,905.3619975
1216,Drew Lester,Air Force,905.2
1217,Jeremy Meadows,Baylor,905.2
1218,Jayson Maule,Portland State,905.0285763
1219,Tyler Marshall,Vermont,904.9450973
1220,Will Oglesby,Tennessee-Martin,904.7302642
1221,Chrishon Dollard,Longwood,904.6095185
1222,Brayden Law,Michigan State,904.5634313
1223,Robert Becker,Stony Brook,904.5395531
1224,Ben Cikutovich,Montana,904.5035763
1225,BLAKE HUBERT,Unattached,904.425
1226,Erik Gonzalez,Arizona State,904.1858421
1227,Jordan Perez,Xavier (Ohio),904.0557
1228,Jacob Stirpe,Eastern Washington,904.0285763
1229,Ryan Day,Baylor,903.9934093
1230,Michael Hahndorf,Bradley,903.9369975
1231,Kale Sharp,Utah Valley,903.891859
1232,Tristan Irish,Northern Colorado,903.7
1233,Drew Everett,UMass Lowell,903.6296468
1234,Noah Adams,Montana,903.6285763
1235,Caleb Seely,Idaho,903.3035763
