,NAME,TEAM,elo
143,Festus Lagat,Iowa State,1176.33124
144,Ryan Sullivan,Youngstown St.,1174.371204
145,Blake Haney,Oregon,1173.317321
146,Cade Bethmann,Ole Miss,1172.12189
147,Miler Haller,Boise State,1171.029104
148,Caleb Pottorff,Florida State,1170.651968
149,Daniel Carney,BYU,1169.941859
150,Fred Huxham,Washington,1169.737611
151,Andrew Jordan,Iowa State,1169.399633
152,Mitch Resor,North Carolina,1168.995097
153,Evan Jameson,Cal Poly,1168.958287
154,Matt Leach,Strava TC,1168.410842
155,Cordon Louco,Duquesne,1167.988641
156,Nick Wolk,Pittsburgh,1167.76993
157,Mahmoud Moussa,Washington,1167.730404
158,Dustin Hatfield,Eastern Illinois,1165.136092
159,George Gleason,UCLA,1163.785842
160,Zachary Michon,St. Joseph's (Pa.),1163.639553
161,Garrett Corcoran,California,1163.176946
162,Addison DeHaven,Boise State,1162.705235
163,Rohann Asfaw,Virginia,1160.798112
164,Chris Morzenti,UCLA,1159.185842
165,Craig Huff,San Jose St.,1156.402743
166,Daniel Bernal,Furman,1155.049038
167,Michael Vernau,Stanford,1154.977128
168,Kenny Vasbinder,Columbia,1154.614553
169,Cole Smith,UCLA,1154.610842
170,TIMOTHY McGOWAN,UNA PSU,1154.388814
171,Zach Long,Tennessee,1153.586859
172,David Krahn,Princeton,1151.30082
173,Josh Phillips,Villanova,1151.28416
174,Caleb Covell,Buffalo,1150.139553
175,Jake Ritter,Cal Poly,1150.060842
176,Charlie O'Donovan,Villanova,1149.9399
177,Jamie Dee,Iona,1149.80624
178,Jeffrey Kirshenbaum,Lehigh,1148.961701
179,Dan Curts,Iowa State,1147.708966
180,Nathan Thomas,Air Force,1147.167294
181,Kieran Tuntivate,Harvard,1146.767985
182,Paul Luevano,Boston U.,1146.645097
183,Nathan Mylenek,Iowa,1145.98455
184,Matthew Thomas,Michigan State,1145.853324
185,Joshua Joseph,Adams State,1145.535842
186,Daniel Hintz,Wyoming,1143.338631
187,Mick Stanovsek,Washington,1142.245097
188,Dominic Hockenbury,Syracuse,1141.726772
189,Eric van der Els,Connecticut,1141.239553
190,Meika Beaudoin-Rousseau,UNA-Stanford,1141.035842
191,Avery Bartlett,Georgia Tech,1140.554082
192,Akis Medrano,Indiana State,1139.790667
193,Emmanuel Rotich,Tulane,1138.392985
194,Jeremy Brown,North Carolina,1137.870097
195,Tom Nobles,Charlotte,1136.171134
196,Christopher Torpy,Miami (Ohio),1136.120083
197,Kelvin Kirui,Campbell,1133.925454
198,Manuel de Backer,Saint Louis,1133.85
199,Shuaib Aljabaly,Wisconsin,1133.630513
200,Ahmed Muhumed,Boise State,1133.018468
201,Ibrahim Kedir,La Salle,1132.414553
202,Salvador Capetillo,Mt. SAC,1132.110842
203,Jordan Rowe,Lamar,1129.580513
204,Vann Moffett,Stony Brook,1129.195097
205,Boaz Ronoh,UTEP,1128.975
206,Ethan Gonzales,Colorado,1128.834944
207,Andy Snyder,Washington,1128.799509
