Elo rank,NAME,TEAM,elo
617,Greg Mangarelli,Stony Brook,1025.195097
618,Winter Romeyn,Michigan State,1025.129924
619,Reed Brown,Una-2,1025.062624
620,Addison Smith,Calvin,1024.8
621,Juan Cisneros,Radford,1024.484519
622,Meshack Kipruto,Campbell,1024.105012
623,Abdi Ahmed,Unattached,1024.025
624,Jake Brophy,Navy,1023.737361
625,Bobby Johnson,Butler,1023.68179
626,David Coffey,Miami (Ohio),1023.634812
627,Fabian Cardenas,Idaho,1023.578576
628,Michael Teran-Solano,Portland,1023.54929
629,Garrett O'Toole,Arizona State,1023.493022
630,Adam Breaux,Tulsa,1023.205544
631,Jack Joyce,Virginia Tech,1023.084992
632,Trent Mandato,Furman,1022.668979
633,Jerald Taylor,Wyoming,1022.5
634,Anthony Benitez,Unattached,1022.335842
635,Jacob Branch,Michigan,1022.277553
636,Jack Aho,Michigan,1021.95624
637,Jordan Bostian,Western Carolina,1021.761744
638,Charlie Hunter,Unattached,1021.675
639,Jamison Koeman,Calvin,1021.025
640,Joaquin Martinez De Pinillos,Wake Forest,1020.856499
641,Gashaw Duhamel,Tennessee,1020.824389
642,Makinnley Casey,Radford,1020.559519
643,Spencer Smith,Iowa,1020.025
644,Alex Topini,Rice,1020.014882
645,Jack Polerecky,Loyola Marymount,1019.87429
646,Kipkirui Sammy,Tennessee Tech,1019.155264
647,Robert Tully,Tulsa,1018.736998
648,Bransen Thomas Stimpfel,Unattached,1018.660842
649,Ryan Lehmuth,Northern Colorado,1018.625
650,Nick Doan,Liberty,1018.400557
651,Nick Pschunder,Rutgers,1018.395887
652,Justin Janke,Washington St.,1018.281916
653,Brandon Hernandez,UNC-Greensboro,1017.936744
654,Matt Thornton,North Carolina,1017.870097
655,Henry Hayes,Portland,1017.575
656,Bennett Gagnon,Gonzaga,1017.530513
657,John Ward,Clemson,1017.275
658,Nick Oakley,Eastern Illinois,1017.264936
659,Jack Guyton,Florida,1017.097948
660,Stephen Gray,High Point,1016.684519
661,Adolfo Carvalho,Rice,1016.214882
662,Jackson Lewis,Arizona State,1015.010842
663,Alex Masai,Hofstra,1014.39791
664,Alex Boseman,East Carolina,1014.193548
665,James Garst,East Tenn. St.,1014.186744
666,Joshua Yeager,Drake,1013.770382
667,Nick Yeend,Indiana State,1013.55
668,Robinson Snider,Ole Miss,1013.5
669,Gilbert Grundy,Jacuzzi Boys AC,1012.937624
670,Anthony Sasso,High Point,1012.859519
671,Austin Del Rosso,Tulsa,1012.698942
672,Nathan Dunn,Wright State,1012.560111
673,Daniel Saina,McNeese State,1012.439882
674,Anthony Camerieri,Miami (Ohio),1012.25
675,Ryan Riddle,Tulsa,1011.72159
676,Nick Laning,Vanderbilt,1011.495637
677,Gabe Mudel,Michigan,1011.392819
678,Sean Miller,Simon Fraser,1011.385842
679,Jarrett Mattingly,Morehead State,1011.355264
680,Paxton Smith,Colorado,1011.1
681,Derek Holmes,UMass Lowell,1010.891651
682,Josh Routh,East Tenn. St.,1010.511744
683,Patrick Lynch,William and Mary,1010.279969
684,Adam Wise,LSU,1009.875
685,Jakob Kintzele,Princeton,1009.592971
686,Marlin Young,USC Upstate,1009.109519
687,Jon Bishop,Texas A&M,1008.714882
688,Anthony Schmalz,Montana State,1008.703576
689,Matt Prest,Saint Louis,1008.595652
690,Alex Tam,Unattached,1008.5
691,Carlos Vargas,Simon Fraser,1007.785842
692,Matthew Watkins,Washington St.,1007.561998
693,Jordan Carrington,Morehead State,1007.530264
694,Mitch Halpern,Binghamton,1007.514553
695,ALBERT STEINER,Unattached,1007.425
696,Vincent Zona,Notre Dame,1007.424428
697,Stokton Smith,Utah State,1007.330513
698,Nick Heath,Pepperdine,1007.321418
699,Ethan Hageman,East Carolina,1007.193548
700,Jared Pangallozzi,Johns Hopkins,1007.070097
701,Owen Wing,Penn State,1007.014136
702,Ryan Peck,California,1006.94471
703,Brad Cheek,Samford,1006.886744
704,Oscar Vazquez,Buffalo,1006.875316
705,Sam Bowers,Georgia,1006.63355
706,Ryan Burd,Marquette,1006.5557
707,Jonathan Lee,UC Riverside,1006.25
708,Reed Brown,UNATTACHED-1,1005.95
709,Everett Smulders,Ole Miss,1005.8
710,Eion Nohilly,Georgetown,1005.776736
711,Kevin Koski,Illinois State,1005.727241
712,Corey Thornton,Wis.-Milwaukee,1005.535111
713,William Wise,Presbyterian,1005.434519
714,Alex Hernandez,Sam Houston St.,1005.014882
715,Charlie Harders,Unattached,1004.85
716,Daniel Murphy,Iowa,1004.696176
717,Daniel Sims,Michigan State,1004.546367
718,Anthony Ocegueda,Utah Valley,1004.441859
719,Darius Riley,Unattached,1004.210842
720,Joacim Zuniga,Texas Tech,1003.993409
721,Alec Hartman,Bradley,1003.936998
722,Matt Scarpill,St. Joseph's (Pa.),1003.839553
723,Stephen Haas,Northern Colorado,1003.8
724,James Zentmeyer,Liberty,1003.718548
725,Jayson Hines,Stony Brook,1003.520097
726,Chris Melgares,Kansas,1003.411063
727,nathan Watson,Chattanooga,1003.311744
728,Collin Buck,Montana State,1003.139404
729,Daniel Cohen,Penn,1002.782342
730,Cale Kilian,Indiana State,1002.675
731,Cal Puskar,Buffalo,1002.363871
732,Devin Wulff,Portland,1002.325
733,Andrew Forsyth,Colorado St.,1002.271169
734,Hunter Davila,Arizona,1002.267985
735,Fraser Wilson,Unattached,1001.275
736,Jason Vincze,Vanderbilt,1001.220296
737,Eric Casarez,Oklahoma,1000.916859
738,John Bennett,Unattached,1000.660842
739,Ryan Burrows,Northern Kentucky,1000.268548
740,Noah Jacobs,Texas A&M,1000.024914
741,Gavin Cooper,East Tenn. St.,999.8117436
742,Tom Gardiner,Xavier (Ohio),999.2557
743,Trevor Foley,Florida,998.9729481
744,Joey Duerr,Minnesota,998.8453818
745,Thomas Salas,Portland,998.825
746,Curt Crossley,Weber State,998.3042743
747,Konnor Sommer,Iowa,997.775
748,Kyle Johnson,Lipscomb,997.7558483
749,Joshua Sealand,Strava TC,997.1358421
750,Bryce Catlett,VCU,996.8435476
751,Matt Bomkamp,Charlotte,996.8369975
752,Nathan Gillis,La Salle,996.5645531
753,James Brinyark,Alabama,996.477001
754,Ben Garner,Samford,996.3867436
755,Tom Hale,Brown,995.9798718
756,Deion Hardy,Incarnate Word,995.7252234
757,Wesley Robinson,Tennessee,995.3
758,Eldon Warner,South Dakota,995.1703818
759,Will Merritt,Mount St. Mary's,995.1123612
760,Said Guermali,Portland,995.0626238
761,Mark Bennett,Southern Utah,994.7785763
762,Michael Tardella,USC Upstate,994.7095185
763,Zac Thompson,Miami (Ohio),994.375
764,Alexander Roth,Penn,994.24577
765,Andrew Abikhaled,Rice,994.0648822
766,Jaime Marcos,Eastern Illinois,994.0033871
767,John Reniewicki,Arizona State,993.6358421
768,Ben Barrett,North Carolina St.,993.4542517
769,Gus Newcomb,Colorado,993.35
770,Dustin Jutras,George Mason,992.9645531
771,Harrison Maloy,UMass Lowell,992.7441693
772,Landon Skelly,SIU Edwardsville,992.7302642
773,James Nedrich,Youngstown St.,992.25
774,Carter Christman,UNATTACHED-5,992.15
775,Max Barbour,Tennessee,992.075
776,Carter Christman,Una-3,991.8126238
777,Griffin Molino,Saint Francis University,991.6623612
778,Sage Church,Longwood,991.2345185
779,Jeff Roberts,Iowa,991.05
780,Steven Grolle,Strava TC,990.1608421
781,Matthew Newland,Florida State,990.0430238
782,Dominic Dimambro,Michigan,990.0119975
783,Nikolai Rhodes,Air Force,989.975
784,Luke Sumerford,UNC-Greensboro,989.7117436
785,Kyle Kelly,Stony Brook,989.5200973
786,Jonathan Lauer,Columbia,989.3895531
787,Roberto Porras,Utah State,989.2796468
788,Cooper Schroeder,Kansas State,989.2684093
789,Anthony Stone,Lane CC,989
790,Adam Johnston,Tennessee,989
791,Michael Rautter,Siena,988.9229103
792,Ryan Cash,Indiana State,988.85
793,Nathan Pixler,Seattle U.,988.6876238
794,Sean McDermott,Cal Poly,987.9500569
795,Jonny Glen,New Mexico,987.8863096
796,Grant Gilbert,High Point,987.8095185
797,Brenden Allen,Unattached,987.8
798,Ryan Gallagher,Providence,987.2090976
799,Zach Litoff,Santa Clara,987.116859
800,Isaac Vargas,Texas A&M-CC,986.9398822
801,Tyler Dozzi,British Columbia,986.7358421
802,Tyler Bowling,Purdue,986.6869975
803,Scott Kopczynski,Gonzaga,986.4992896
804,Paul Richardson,Samford,986.4867436
805,Aidan Livingston,Vanderbilt,986.075
806,Connor McMenamin,Bucknell,986.0700973
807,Andy Muha,Lane CC,985.95
808,Jack Davidson,Santa Clara,985.8935148
809,Colin Wills,George Washington,985.8395531
810,Charlie Hunter,Una-4,985.6876238
811,Sigei Bernard,Tennessee Tech,985.6302642
812,Marshall Beatty,Army West Point,985.3729103
813,Anthony Berry,Michigan,985.1520289
814,Alec Haines,Oklahoma State,984.7848608
815,Brendan Fraser,Notre Dame,984.65
816,Jacob Coccia,USC Upstate,984.4345185
817,Jacob Coccia,USC Upstate,984.4345185
818,Felix Kandie,Liberty,984.3969714
819,Jack Anstey,Illinois State,983.741859
820,Jordan Lesansee,Air Force,983.45
821,Alexandre Moret,UT-Rio Grande Valley,983.4148822
822,Charlie Pope,San Jose St.,983.3358421
823,Andrew Miller,Elon,983.3185476
824,Nathan Longfellow,East Tenn. St.,983.3117436
825,Jordan Brannan,Iona,983.0267159
826,Jacob Truitt,Northwest Christian,983.025
827,Hector Garcia,UC Irvine,982.7252875
828,Matt McBrien,Georgia Tech,982.6450973
829,Sam Morton,Dartmouth,982.4045533
830,Derek Basinger,Youngstown St.,982.15
831,Max Norman,Portland State,981.8535763
832,Jonathan Voth,Bowling Green,981.7351112
833,Will Majercak,Dayton,981.6
834,Alex Slenning,Washington,981.1819909
835,Ashenafi Kidanu,Radford,981.1095185
836,Brad Swiney,Tennessee,980.675
837,Kyle Johnson,Pepperdine,980.5890337
838,Jacob Janzen,Oklahoma,980.416859
839,Josh Campbell,Northern Colorado,980.275
840,Jesse Todd,Lane CC,980.225
841,Sean Parker,Mercer,980.1867436
842,Aidan Thompson,Belmont,980.1346313
843,Cal Davidson-Turner,Seattle U.,979.9876238
844,Edgar Bonilla,San Jose St.,979.9608421
845,Juan Manzano,UT-Rio Grande Valley,979.9148822
846,Andrew Clusserath,Gonzaga,979.6002875
847,Brett Davidson,Boston U.,979.2450973
848,Robby Prescott,Eastern Illinois,978.875
849,Ethan Newland,George Mason,978.8145531
850,Drew Seidel,Portland State,978.7785763
851,Baptiste Jard,Incarnate Word,978.745327
852,Daniel Santino,Miami (Ohio),978.625
853,Cole Barkocy,Eastern Kentucky,978.5725368
854,Hugh Sadler,Yale,978.2979103
855,Seth Hirsch,Wisconsin,977.9917484
856,Clark Otte,Butler,977.617746
857,Tim Bason,North Carolina St.,977.6077667
858,Matt Schumann,Portland,977.55
859,Chase Kennedy,Kennesaw State,977.3558483
860,Robert Pedersen,Una-5,977.3126238
861,THOMAS CHASTON,COLORADO ST.,977.15
862,Mark Britt,Chattanooga,977.1367436
863,Adam Barnard,Georgetown,977.0513087
864,Lance Rambo,Michigan State,977.0119975
865,Jesse Allen,Idaho State,976.7236946
866,Charlie Perry,UNA-Stanford,976.6108421
867,Tyler Marshall,Vermont,976.563843
868,Caleb Van Geffen,Vanderbilt,975.8
869,Jake Bertelsen,Miami (Ohio),975.725
870,Harrison Martingayle,LSU,975.65
871,Kyle Harris,Butler,975.5557
872,Wes McPhail,Texas A&M,975.4229481
873,Thomas Amabile,George Mason,975.3395531
874,Cobie Chavez-Killinger,Portland,975
875,Ryman Crone,UC Davis,974.7626238
876,Travis Gallimore,Campbell,974.6095185
877,Gavin Jenkins,VMI,974.1617436
878,JOSH TORRES,Unattached,974.1
879,Georde Goodwyn,Tennessee,973.575
880,Jack Rose,UC Santa Barbara,973.2858421
881,Alex Cleveland,North Texas,973.0148822
882,Matt Blanco,Illinois State,972.925
883,Shane Streich,Minnesota,972.7796468
884,Dillon May,Montana,972.7785763
885,Seth Berdahl,Oregon,972.55
886,Michael Smith,Clemson,972.475
887,Pedro Nasta,Texas,972.3434093
888,Jacques Hebert,Seattle U.,972.3126238
889,Hunter Jutras,George Mason,971.8895531
890,Andrew Rafla,Boise State,971.8097777
891,Jack Rogers,Auburn,971.5
892,Blanton Gillespie,UNC-Asheville,971.4345185
893,Trelek Jones,UNC-Greensboro,971.2367436
894,Ryan Smeeton,Oklahoma State,971.1346668
895,Vinny Del Conte,Colorado St.,971.125
896,Britain Reynolds,Utah Valley,970.666859
897,Jake Knoblich,Portland,970.225
898,Avery Felty,Unattached,970.225
899,John Kavulich,Una-10,969.9876238
900,Grayson Ollar,Idaho,969.8785763
901,Nick Boogades,Tennessee,969.575
902,Jalen Frantal,Pepperdine,969.5742896
903,Jackson Goodwin,Clemson,969.35
904,Grayson Jenkins,Xavier (Ohio),969.3307
905,Jacob Stupak,Bucknell,969.1950973
906,George Espino,Southern Utah,968.6789893
907,Matt Kingeter,UMBC,968.4645531
908,Justin Adams,VMI,968.3867436
909,Graham Parker,UNC-Asheville,968.3095185
910,Jeremy Romero,Northern Colorado,968.2
911,Conner Covey,Northwest Christian,968.025
912,Ben Monk,Seattle U.,967.7876238
913,Andrew Tighe,Dayton,967.6
914,Benjamin Davidson,Santa Clara,966.9742896
915,Nick Randazzo,UC Santa Barbara,966.7108421
916,Austin Tamagno,Oregon,966.6046468
917,Chase Howard,Creighton,966.3057
918,Noah Hufnagel,Indiana State,966.275
919,Grant Tiff,Stephen F. Austin,966.2398822
920,Oliver Rigg,Alabama,966.175
921,Joe Gorthy,Kansas State,966.0434093
922,Shane Henderson,Lane CC,965.95
923,Kevin Vinolas,Stony Brook,965.8950973
924,Chad Sussman,Bucknell,965.8222209
925,Kyle Kennedy,Seattle U.,965.6876238
926,Jonathan Boyd,Chattanooga,965.6117436
927,Vince Turner,Murray State,965.5302642
928,James McCann,Detroit Mercy,965.4851112
929,Declan McManus,Belmont,965.4526628
930,JOE BINDER,Unattached,965.325
931,Joe Simmons,Idaho State,965.239325
932,Matthew Barrera,UNC-Asheville,965.2345185
933,Duncan Hamilton,Montana State,965.1573821
934,Thomas Thornton,Illinois State,965.05
935,Johnathan Chavez,Georgetown,964.8119975
936,Johnny Hogue,Richmond,964.7833684
937,Evan Suzman,Vanderbilt,964.675
938,Stefan Bradley,Gonzaga,964.4492896
939,Brian Griffith,Notre Dame,964.341859
940,Carson Bain,Northwest Christian,964
941,Alex Franklin,Seattle U.,963.6876238
942,Baylor Franklin,Ole Miss,963.3
943,Hunter Wharrey,Duquesne,963.225
944,Ethan Powell,Kansas State,962.9684093
945,Tristan Pena,UT-Rio Grande Valley,962.8898822
946,Robert Zell,Mercer,962.8867436
947,Craig Schumacher,Youngstown St.,962.6
948,Miguel Bautista,Texas Tech,962.5455992
949,Isaiah Remington,Northern Colorado,962.5
950,Jared Coccia,USC Upstate,962.2095185
951,Eric Beyerle,UO Running Club,962.15
952,Paul Selden,Alabama,962.075
953,Cain Hassim,Southern Illinois,961.8869975
954,Fenn Hoppe,UC Davis,961.8126238
955,Sam Ellis,Princeton,961.6645531
956,Colin Daly,Penn,961.4341165
957,Andrew Schilling,Wisconsin,961.4184324
958,David Melville,Harvard,961.3535308
959,Ryan Lee,Auburn,961
960,Logan Morley,Montana State,960.9520351
961,Robert Pedersen,UNATTACHED-3,960.425
962,Brandon Cooley,Iowa,960.2261935
963,Will Bullock,Eastern Illinois,960.225
964,Thomas Knepshield,UNC-Greensboro,960.2117436
965,Adam Walker,Saint Louis,960.2
966,Jackson Thomas,Auburn,960.075
967,Bradley Needles,UC Davis,960.0626238
968,Matthew Thomas,Kentucky,960.0554126
969,Daniel Navarro,Georgia,960.0479481
970,Leif Everson,Boise State,959.8847777
971,Justice Ramos,Colorado,959.75
972,Preston Gromer,Pepperdine,959.5742896
973,Steven Khan,California,959.5599452
974,Matthew Munns,Georgia Tech,959.3700973
975,Caleb Casolaro,Vanderbilt,959.3
976,Pete Decker,Radford,959.2345185
977,Christian Hubaker,Michigan,959.0119975
978,John Luder,Kansas,958.8766595
979,Andres Martinez,Northwest Christian,958.825
980,Alex Tucker,Auburn,958.675
981,Luke Hoover,Dayton,958.3298995
982,Owen Bishop,Columbia,958.2895531
983,Edward Harpstead,Vanderbilt,958.175
984,Kai Benedict,California,958.1162834
985,Sean MacGregor,Dayton,957.925
986,Kyle Cloutier,UMass Lowell,957.8296468
987,Payton Ash,Alabama,957.8
988,Dalton Miles,UNC-Greensboro,957.6117436
989,Moses Bojorquez,St. Mary's (Cal.),957.5929601
990,Noah Karr,Alabama,957.575
991,Blake Roberts,Butler,957.5557
992,Erik Armes,Auburn,957.5
993,Isaac Sanchez,Northwest Christian,957.325
994,Meika Beaudoin-Rousseau,Stanford,957.2892942
995,Simeon Paul,Loyola Marymount,957.2492896
996,Arman Irani,UC Riverside,957.225
997,Chase Watson,Northern Colorado,957.075
998,Aaron Ahl,Simon Fraser,956.9858421
999,Eli Boudouris,Seattle U.,956.8626238
1000,Johnny Leverenz,Butler,956.3952727
1001,Tristen Thomson,Sacramento St.,956.3285763
1002,William Metcalf-Shull,Winthrop,956.3095185
1003,Christian Bowles,Georgia Tech,956.2756266
1004,Kenneth Hagen,Indiana,956.2119975
1005,Wesley Gray,Austin Peay,956.1552642
1006,Ben Matejka,Dartmouth,956.1450973
1007,Grayson Mazziotti,Lane CC,955.95
1008,Seth Conroy,Miami (Ohio),955.725
1009,Michael Wheeler,UC Davis,955.4376238
1010,Paul Nichols,Villanova,955.1458641
1011,Colin Martin,Citadel,955.0867436
1012,Josh Ward,Utah State,955.0046468
1013,Solomon Demeku-Ousman,Loyola Marymount,954.9742896
1014,Matthew Viveiros,Memphis,954.8558483
1015,Jack Hautz,Xavier (Ohio),954.7807
1016,Dan Carrier,Northwest Christian,954.7
1017,Patrick Sullivan,Air Force,954.5498609
1018,GABE FENDEL,Unattached,954.45
1019,David Fitzgerald,Temple,954.3061474
1020,Aaron Dugan,Saint Louis,954.3
1021,Josh Gordon,UO Running Club,954.1376238
1022,Michael Milic,British Columbia,953.8108421
1023,Zach Wiberg,Weber State,953.8035763
1024,Ryan Pitner,Miami (Ohio),953.799608
1025,Kevin Ganahl,Saint Louis,953.625
1026,Casey Pugh,Lane CC,953.575
1027,Brandon Burt,USC Upstate,953.4345185
1028,Max Lehnhardt,Miami (Ohio),953.1576889
1029,Leonel Perez,Tennessee-Martin,953.1302642
1030,JD Thorne,Utah State,953.0555125
1031,Cameron Thompson,Una-9,952.9376238
1032,Stuart Kendall,St. Mary's (Cal.),952.7492896
1033,Isaiah Hanna,Western Carolina,952.6117436
1034,Yousef Baddour,UC Santa Barbara,952.6002875
1035,Micah Conley,Unattached,952.575
1036,Noah Deck,DePaul,952.0557
1037,Ansel Pendley-Griffin,Seattle U.,951.8626238
1038,Rob Leverone,North Florida,951.7558483
1039,James Withers,Utah State,951.7309154
1040,Jacob Davis,Lane CC,951.675
1041,Garrett Grissim,Dayton,951.6
1042,Ben Payton,Indiana State,951.425
1043,Justin Pacifico,Florida,951.4229481
1044,Reese Jordan,Indiana,951.3862082
1045,Tyson Murray,Florida State,951.2231666
1046,Anthony Belfatto,Canisius,950.9229103
1047,Adam Fragola,UC Davis,950.9126238
1048,Ryle Hollick,Lane CC,950.9
1049,Jamie Granata,Cornell,950.8462011
1050,Ryan Wilkie,Michigan,950.8119975
1051,Alex Nemethy,U. of Victoria,950.6858421
1052,Jonathan Loy,USC Upstate,950.6095185
1053,Michael Hans,Georgia,950.3513797
1054,Tyler Anderson,Lane CC,950.25
1055,Vladimir Zander-Velloso,Mercer,950.2117436
1056,Derek Lin,UC Davis,950.0626238
1057,Connor Goetz,Oakland,949.8601112
1058,Matthew Kravitz,Lehigh,949.7700973
1059,Jacob Lackey,Northwest Christian,949.7
1060,Zach Robertson,Miami (Ohio),949.65
1061,Ricky Faure,Wyoming,949.375
1062,Lance Slichko,Seattle U.,949.3126238
1063,Jacob Adams,Lane CC,949.275
1064,Bishop Burns,Lane CC,948.975
1065,Nathan Wellington,Montana,948.9035763
1066,Diego Delaplane,Northwest Christian,948.8
1067,Champ Davis,UO Running Club,948.75
1068,Xolan Brown,UC Davis,948.6876238
1069,Tyler Lay,Eastern Illinois,948.6
1070,Branden Estrada,Loyola Marymount,948.5242896
1071,Myers McKinney,Wake Forest,948.5215133
1072,Sean Macpherson,St. Joseph's (Pa.),948.3145531
1073,Stephen Crocker,Seattle U.,948.1876238
1074,Teddy Browning,Indiana,948.1869975
1075,Kevin Pulliam,Notre Dame,948.1808123
1076,William Sandin,UNC-Greensboro,947.8867436
1077,Philip Sherwin,High Point,947.8345185
1078,Jack McNabola,Unattached,947.8
1079,Evan Talan,Seattle U.,947.7876238
1080,Owen Walker,Siena,947.5979103
1081,Josh Kozelj,U. of Victoria,947.5858421
1082,Solomon Faulkner,UO Running Club,947.4876238
1083,Drew Cardinale,UO Running Club,947.3126238
1084,Austin Tamagno,Una-6,947.2626238
1085,Daniel White,Belmont,947.2302642
1086,PHILIP HENRY,Unattached,946.95
1087,Terry McMillan,Wis.-Milwaukee,946.8101112
1088,Alex Gill,Marquette,946.7557
1089,Oliver Hickson,Johns Hopkins,946.6200973
1090,Erick Rotich,Stephen F. Austin,946.6148822
1091,Tom Sullivan,Duke,946.1327371
1092,David Evans,Unattached,946.05
1093,Sam Snodgrass,Duquesne,945.825
1094,Kevin Hall,Michigan,945.6119975
1095,Josiah Jaqua,Mercer,945.6117436
1096,Zachary Stallings,Washington St.,945.4662834
1097,Neel Taber,Presbyterian,945.1095185
1098,Dean Abushouk,East Carolina,944.8435476
1099,Ronaldo Delgado,Fresno State,944.6597777
1100,Josh Ramos,Colorado,944.575
1101,Ethan Kirk,Illinois State,944.375
1102,Ross Walker,Sacramento St.,944.2785763
1103,Sean Torpy,Miami (Ohio),944.2300867
1104,Patrick Bruch,Marquette,944.1807
1105,Griffin Butler,Ohio,943.5393953
1106,Alex Minor,Marshall,943.5373612
1107,Liam Harris,Providence,943.4950973
1108,Andrew Cobos,North Texas,943.4398822
1109,Jack Zemp,Wofford,943.3867436
1110,Charlie Parrish,Kansas State,943.3684093
1111,Isaac Bentz,Indiana State,943.1
1112,Will Griffen,Virginia Tech,943.0850656
1113,Kevin White,Loyola (Ill.),943.0453818
1114,Cameron Dean,Washington St.,942.8912834
1115,Justin Dickman,Unattached,942.775
1116,Matthew Founds,Fresno State,942.6347777
1117,Logan Miller,USC Upstate,942.4345185
1118,Ian Eklin,Iowa,942.3472677
1119,TOM OATES,Unattached,942.25
1120,Shawn Hutchison,St. Joseph's (Pa.),942.1843153
1121,Isaac Barville,Eastern Washington,942.0535763
1122,Marc Migliozzi,Akron,941.9759257
1123,Caleb Garnica,Utah State,941.8796468
1124,James Mas,Connecticut,941.7895531
1125,Ryan Brown,Appalachian State,941.7685476
1126,Dwain Stucker,Idaho,941.7007178
1127,Jack Carleo,Providence,941.6807
1128,Jaden Uphoff,Fresno State,941.6597777
1129,Max Trummer,British Columbia,941.4608421
1130,Ryan Walker,Fresno State,941.3097777
1131,Sebastian Francesconi,Miami (Ohio),941.275
1132,Tyler Robakiewicz,Western Carolina,941.2367436
1133,Noah Horsburgh,Boise State,941.0812404
1134,Michael Viano,Fresno State,941.0347777
1135,Karl Winter,Pepperdine,940.8492896
1136,Sean Byrne,TCU,940.8434093
1137,Nathan Burd,Fresno State,940.8347777
1138,Andy Payne,Eastern Michigan,940.7851112
1139,Alekos Mitchel,Fresno State,940.7097777
1140,Josue Del Real,Fresno State,940.6597777
1141,Ryan Wolff,Northern Arizona,940.6119975
1142,Joe Carter,Eastern Illinois,940.4
1143,Andrew King,Johns Hopkins,940.3950973
1144,Colin Dwyer,Air Force,940
1145,Tommy Osika,Unattached,939.85
1146,Geoffrey McCullough,Hampton,939.8095185
1147,Alex Sasser,Loyola Marymount,939.798806
1148,Trevor Warren,Kentucky,939.7280129
1149,Owen Glogovsky,Lipscomb,939.6808483
1150,Ian Reesh,Western Carolina,939.1617436
1151,Joseph Garcia,Loyola Marymount,939.0742896
1152,Jackson Cooper,Morehead State,938.7552642
1153,Timothy Stevenson,Illinois State,938.5
1154,John Gay,British Columbia,938.4358421
1155,Logan Wetzel,Villanova,938.1869975
1156,Luke Duggan,Northern Colorado,937.825
1157,Clark Bookman,Kent State,937.8101112
1158,Shane Marshall,Sacramento St.,937.7785763
1159,Matt Henderson,Baylor,937.725
1160,Isaac Kole,Mount St. Mary's,937.6123612
1161,Tim Wells,Pepperdine,937.3742896
1162,Jonas Chimbanda,Dayton,937.25
1163,Jacob Todd,UNC-Asheville,937.2345185
1164,Andre Jordan,VMI,937.1367436
1165,Jack Shea,Northern Arizona,937.1246404
1166,Paul Arredondo,Charlotte,936.8313344
1167,Christian Conder,North Florida,936.7308483
1168,Jordan De Spong,Nebraska,936.4329754
1169,John Petruno,Unattached,936.1
1170,Steven Stine,Michigan State,935.8119975
1171,Brennan Lagerstrom,Santa Clara,935.7492896
1172,Jordan Armstrong,Air Force,935.7
1173,Sam Ayala,UC Irvine,935.5752875
1174,Nick Deal,Florida,935.5565837
1175,Colby Penn,Mt. SAC,935.4358421
1176,Jack Conlon,George Washington,935.3645531
1177,James McCoy,Wofford,935.1867436
1178,Cole Lovett,Youngstown St.,935.1
1179,Kyle Fulk,Notre Dame,935.025
1180,Theo Burgwald,Purdue,934.9062404
1181,Cesar Arellano,Bowling Green,934.8601112
1182,Joshua Martin,Charleston Southern,934.7095185
1183,Colin Yandel,Illinois,934.5863196
1184,Charlie McIntyre,DePaul,934.5557
1185,Dawson Bathgate,UMass Amherst,934.2700973
1186,Mason Labadie,St. Mary's (Cal.),934.1742896
1187,Devin Vallejo,Houston,934.1398822
1188,Matthew Mangus,Youngstown St.,934.025
1189,Sawyer Sprung,Troy,933.8058483
1190,Carter Ledwith,Eastern Washington,933.7785763
1191,Shane Bissell,California,933.7412834
1192,Lakelin Conrad,TCU,933.6434093
1193,Erik McMillan,Air Force,933.625
1194,Austin Woodard,SIU Edwardsville,933.3552642
1195,Josh Hendry,Wofford,933.3117436
1196,Jack O'Neil,Miami (Ohio),933.125
1197,Magnus Pettersen,Florida,932.8450808
1198,Jorge Sanchez,Cal St. Fullerton,932.8252875
1199,Dominic Morganti,Brown,932.5797213
1200,Jacob Pettinga,Calvin,932.525
1201,Thomas Gallagher,Simon Fraser,932.4608421
1202,Jason Klaassen,Calvin,932.3
1203,Brady Harless,Xavier (Ohio),932.2807
1204,Ryan Miller,Longwood,932.2345185
1205,Oisin O'Gailin,Tennessee-Martin,932.2160796
1206,Will Sponaugle,St. Joseph's (Pa.),932.1895531
1207,Moises Medrano,California,932.1662834
1208,MASON BROWN,Unattached,931.6
1209,Spencer Strohm,Unattached,931.55
1210,Dylan Christopher,UNC-Greensboro,931.4867436
1211,Nathan Gift,Texas Tech,931.3684093
1212,Justin VanEpps,Buffalo,931.2479103
1213,Brendan O'Toole,Bucknell,931.2450973
1214,Reed Sahadevan,Tulsa,931.2119975
1215,Jaymee Domoney,Charleston Southern,931.1475494
1216,Jaymee Domoney,Charleston Southern,931.1475494
1217,Tyler Janes,UCLA,930.9412834
1218,Brandon Christopher,Dayton,930.9
1219,Arturo Sotomayor,UCLA,930.6912834
1220,Thomas Penney,Saint Louis,930.35
1221,Sam Clausnitzer,Utah State,930.1197713
1222,Tim Dwyer,Xavier (Ohio),930.0557
1223,Francesco Romano,Eastern Illinois,930
1224,Andrew Stafford,Portland State,929.9785763
1225,Ben Vertelney,Indiana State,929.875
1226,Zack Kochert,Presbyterian,929.8095185
1227,Fredrick Kanda,Eastern Kentucky,929.7687578
1228,Beck Classey,Wofford,929.7117436
1229,Andrew Tankersley,Air Force,929.65
1230,Jack Landgraf,UC Santa Barbara,929.5108421
