Elo rank,NAME,TEAM,elo
142,Caleb Covell,Buffalo,1231.857768
143,Noah Schutte,Portland,1231.692116
144,Mark Freyhof,Nebraska,1231.172753
145,Mikey Singer,Army West Point,1230.77291
146,Simon Smith,Syracuse,1230.432513
147,Harry Ewing,Wyoming,1229.977964
148,Callum Bolger,Stanford,1229.545935
149,Alexander Seal,Boston U.,1229.287443
150,Michael Coccia,Ole Miss,1229.027089
151,Alec Basten,Minnesota,1228.825383
152,Ryan Murphy,Arkansas,1228.692912
153,Gilbert Kigen,Alabama,1227.05624
154,Liam Dee,Iona,1226.963295
155,Gavin Gaynor,North Carolina St.,1226.436423
156,Cade Bethmann,Ole Miss,1226.355451
157,Robert Brandt,Unattached,1226.110842
158,Kevin Lynch,Utah Valley,1225.330406
159,Tyler Italiano,Columbia,1224.639553
160,Jordan Rowe,Lamar,1223.98814
161,Meshack Kipchirchir,Hofstra,1223.405513
162,Dustin Horter,Indiana,1222.985549
163,Brian Schulz,UC Santa Barbara,1222.346684
164,Charlie O'Donovan,Villanova,1222.106594
165,Caleb Webb,Portland,1221.71739
166,Sydney Gidabuday,Adams State,1221.160842
167,Kieran Wood,Missouri,1220.997044
168,Spencer Danielson,Dayton,1220.133551
169,Jeremy Spiezio,Princeton,1219.910582
170,Anthony Russo,Penn,1219.612073
171,Sean Burke,Boston College,1219.518424
172,Emmanuel Roudolff-Levisse,Portland,1219.383113
173,Brody Smith,Purdue,1218.658931
174,Yusuke Uchikoshi,Boise State,1217.63124
175,Matthew Thomas,Michigan State,1216.930531
176,Adriaan Wildschutt,Coastal Carolina,1216.693548
177,Jack O'Leary,Iona,1216.54791
178,Ahmed Muhumed,Boise State,1215.588917
179,Evan Jameson,Cal Poly,1212.174863
180,Benjamin Petrella,Army West Point,1211.84791
181,Dan Romano,Northeastern,1211.465033
182,Ryan Sullivan,Youngstown St.,1211.331258
183,Aaron Bienenfeld,Cincinnati,1210.185111
184,Andrew Kent,Georgia Tech,1210.170438
185,Andy Snyder,Washington,1209.741456
186,D.J. Principe,Stanford,1208.892081
187,Miles Clikeman,Richmond,1206.686875
188,Louis Corgliano,Temple,1206.383632
189,Silas Kipngetich,Auburn,1205.181884
190,Zach Seiger,Temple,1203.846629
191,Randy Neish,Virginia,1203.3712
192,Golbiowski Nick,North Carolina,1202.009423
193,Iliass Aouani,Syracuse,1201.195097
194,Nathan Thomas,Air Force,1198.424216
195,Jake Ogden,Furman,1198.325012
196,Antoine Senard,Eastern Kentucky,1198.267739
197,Elias Gedyon,Adams State,1196.785842
198,Ty Mogan,Montana State,1195.809824
199,Ed Trippas,Princeton,1195.258835
200,Marco Pompilj,Dartmouth,1193.045895
201,Josh Phillips,Villanova,1191.424364
202,Liam Hilbert,Buffalo,1189.530289
203,Peter Lynch,Tulsa,1189.073715
204,Michael Famiglietti,UMass Amherst,1188.433325
205,Brayden McLelland,BYU,1187.61513
206,Milo Greder,Iowa State,1187.612052
207,Chris Negri,Dayton,1187.490828
208,Millen Trujillo,UCLA,1187.082654
209,Josh Park,Ohio,1186.763814
210,Abraham Chirchir,UT-Rio Grande Valley,1186.289882
211,Nate Osterstock,Southern Utah,1184.697601
212,Dustin Hatfield,Eastern Illinois,1184.299462
213,Chandler Austin,Louisville,1184.223137
214,Gavin Parpart,Washington,1183.277444
215,Julius Diehr,Washington,1182.645097
216,Kyle Brackman,Connecticut,1181.989553
217,Kaleb McLeod,Belmont,1181.389895
218,Florian Lussy,North Texas,1181.364882
219,John Tatter,Michigan,1180.210329
220,Rohann Asfaw,Virginia,1179.796125
221,Fitsum Seyoum,Virginia Tech,1179.215648
222,Luke Hoffert,Bradley,1179.195382
223,Matt Young,Arkansas,1178.766542
224,Cameron Avery,Stony Brook,1178.070097
225,Justin Robison,Cal Poly,1177.735842
226,Brian Zabilski,Columbia,1177.364553
227,Festus Lagat,Iowa State,1176.33124
228,Dan Schaffer,Binghamton,1174.99791
229,Karl Thiessen,Tennessee,1174.965816
230,Luis Martinez,Oklahoma State,1173.885278
231,Cole Smith,UCLA,1173.601272
232,Cameron Daly,Brown,1171.87966
233,Sam Webb,Penn,1171.874959
234,Ryan Ford,Tennessee-Martin,1171.493186
235,Stosh Davis,Siena,1170.49791
236,Brennan Fields,Kentucky,1170.298831
237,Craig Huff,San Jose St.,1170.26114
238,Yacine Guermali,Gonzaga,1170.156301
239,Daniel Carney,BYU,1169.941859
240,Peter Hogan,Gonzaga,1169.940777
241,David Krahn,Princeton,1169.908268
242,Nathan Jubran,North Florida,1169.905848
243,Mitch Resor,North Carolina,1168.995097
244,Matt Leach,Strava TC,1168.410842
245,Nick Wolk,Pittsburgh,1167.76993
246,Mahmoud Moussa,Washington,1167.730404
247,Sam Worley,Texas,1167.243615
248,William Randall,Siena,1165.99791
249,Amir Ado,Washington St.,1164.681298
250,George Gleason,UCLA,1163.785842
251,Zachary Michon,St. Joseph's (Pa.),1163.639553
252,Zac Jacklin,BYU,1162.49074
253,Steven Cross,Florida State,1162.39591
254,Kevin Murray,Navy,1161.912361
255,Zach Marchinko,Charlotte,1160.526546
256,Franco Martins,Brown,1160.33429
257,Chris Morzenti,UCLA,1159.185842
258,Henry Raymond,Dartmouth,1159.154957
259,Brannon Cheplak,Tennessee Tech,1158.897605
